@relation twitter
@attribute Text string
@attribute class-att {in,out}

@data
"Au revoir Jersey off to experience the world and remember what learned in French class lol… t.co zQecVtLgXV",in
"Wonderful offer by @enjoyGLOBE Get Samsung Galaxy FREE for only Plan 499 #BestPlanEver t.co ri7bhTLrAK #WonderfulSALE 024",in
"Galaxy Note 10.1 2014 Edition Leather Sleeve RUM DIARY t.co gQoGvv6dgx #NoteSleeve #NotePortel #Ga t.co fNK7fiHWUe",in
"Galaxy S5 Leather Sleeve  MR CARRAWAY t.co rNnWZQwaKc #GalaxyS5 #GalaxyS5Sleeve #GalaxyS5Leather #GalaxyS5Pouch #SamsungGalaxyS5",in
"Driving home from queens drunk and on twitter whatsup #bqe",in
"Wonderful offer by @enjoyGLOBE Get Samsung Galaxy FREE for only Plan 499 #BestPlanEver t.co ri7bhTLrAK #WonderfulSALE 025",in
"Get rich then flip like Dave Chappelle",in
"“@WorldWideRizz @teamlucyheaux ain never heard nobody say that” being in New York will do that",in
"You n*ggas wanna shine like me bt don wanna put in the work to grind like me",in
"eighty one #vote5sos",in
"Alert WTS Offer Samsung i8190 Galaxy S3 Mini 279 1408785375 t.co wL0Q5L3uR2",in
"Wonderful offer by @enjoyGLOBE Get Samsung Galaxy FREE for only Plan 499 #BestPlanEver t.co ri7bhTLrAK #WonderfulSALE 026",in
"The friends have are beyond incredible They believe in me even when don t.co kur0XdwJjG",in
"Galaxy Note 10.1 2014 Edition Leather Sleeve  EDUARDO  http t.co DTcva9GLNr #GalaxyNote101Sleeve #NoteSleeve #NotePortel #GalaxyNote",in
"Get your Gourmet Samsung Galaxy Cases t.co V5xtRdNMHl",in
"Wonderful offer by @enjoyGLOBE Get Samsung Galaxy FREE for only Plan 499 #BestPlanEver t.co ri7bhTLrAK #WonderfulSALE 027",in
"@Avi12311 up early here Just checking the news",in
"It so hot here Need",in
"galaxy is made up of billions of stars planets and moons There are milions of galaxies in our un t.co WqnfkORCTN",in
"“@luyifans you gave me galaxy when only needed star t.co F9p8MlaVWA” One only ?",in
"silent disco shh",in
"Looking for the best plan that suits you @enjoyGLOBE Get Galaxy free at only plan 499 See t.co cBok1u9vLz #WonderfulSALE",in
"Wonderful offer by @enjoyGLOBE Get Samsung Galaxy FREE for only Plan 499 #BestPlanEver t.co ri7bhTLrAK #WonderfulSALE 028",in
"Galaxy Note Leather Sleeve Cover SKY SAND t.co WchGvmtzpC #galaxyNote3 #Note3 #Sleeve Note3Sleeve",in
"Bon dia @Adamantaimai every Easter Egg In GUARDIANS OF THE GALAXY t.co W0tFwOsKuF",in
"#Movies BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling t.co j5GzhR7FXN",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co CF2rfqQpKX",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co WJWjRvixrV",in
"My son mayweather dead can read bruh lmfao 50 the biggest asshole",in
"Wonderful offer by @enjoyGLOBE Get Samsung Galaxy FREE for only Plan 499 #BestPlanEver t.co ri7bhTLrAK #WonderfulSALE 029",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co 9B99N6Y2f5",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co C9dT7L0Lpd",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co GC1JxDuXSN",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co eUECZNOIwM",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co m7HmTKaLyS",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co z8wRNxQKo6",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co aTZ9ItIaYu",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co tz9Cln46eJ",in
"Galaxy Note 10.1 2014 Edition #Deerskin Case Sleeve t.co hYkkyco1T9 #GalaxyNote101Sleeve #NoteSleeve #NotePortel #NoteCover",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co 7AmQVlmDGZ",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co TQ52BhLhfX",in
"Get your Gourmet Samsung Galaxy Cases t.co 4ahf8XtliR",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co XEzHtoqTt8",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co daNkHPiot7",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co itRXyBB3fP",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co DNKD8c7135",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co b1iUyduJGc",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co QXfMFaGhvz",in
"Had such weird dream",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co 9PBTaGKDai",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co DDuh5RcE8o",in
"@Jessieee_96 @Stonecoldbittch you left the tray ???",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co mVOa8Xjuus",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co 2sP6qn6K0Y",in
"BOX OFFICE GUARDIANS OF THE GALAXY Reclaims First SIN CITY Bombs The Friday numbers are rolling in from t.co MuMZhx3IKL",in
"Samsung Galaxy S5 doning the ALS Ice Bucket Challenge pretty smart and simple t.co llDwkddonW",in
"Galaxy S5 Cheese Case Organic Leather t.co ZIWzmQPEsY #GalaxyS5 #GalaxyS5Sleeve #GalaxyS5Leather #GalaxyS5Pouch #SamsungGalaxyS5",in
"Cell Phone Shop t.co w2IDXtauwC #629 RB Samsung Galaxy Note II SGH I317 16GB Titanium gray AT&T t.co cHXYHmINUS",in
"Alert WTS Offer Samsung i8260 Galaxy Core 279 1408785401 t.co 95CvajFAjm",in
"Going to see Guardians Of The Galaxy while @mrs_bong goes to her sewing class t.co IanzM2oNbu",in
"entertaining ??? Guardians of the Galaxy with @ruly65 at @cinema21 t.co EeHFe1n2u2",in
"Galaxy Note 10.1 2014 Edition Leather Sleeve  MACCHIATO  http t.co HL6M8MAYBG #GalaxyNote101Sleeve #NoteSleeve #NotePortel #GalaxyNote",in
"don know what like better Guardians of the Galaxy or Rurouni Kenshin",in
"#NW Guardians of The Galaxy with Bernadette at blitzmegaplex [pic] t.co 5IgyIgvSWO",in
